Sales Person;Geography;Product;Amount;Units
Barr Faughny;Australia;Caramel Stuffed Bars;$6.580 ;183
Ches Bonnell;New Zealand;50% Dark Bites;$6.608 ;225
Gunar Cockshoot;USA;Raspberry Choco;$6.657 ;276
Oby Sorrel;Canada;Choco Coated Almonds;$6.657 ;303
Brien Boise;USA;Choco Coated Almonds;$6.706 ;459
Curtice Advani;India;Choco Coated Almonds;$6.734 ;123
Ram Mahesh;India;Baker's Choco Chips;$6.748 ;48
Ches Bonnell;USA;70% Dark Bites;$6.755 ;252
Curtice Advani;New Zealand;Baker's Choco Chips;$6.818 ;6
Husein Augar;India;Spicy Special Slims;$6.832 ;27
Ram Mahesh;USA;After Nines;$6.853 ;372
Oby Sorrel;Australia;Almond Choco;$6.860 ;126
Gigi Bohling;UK;After Nines;$6.909 ;81
Gigi Bohling;India;Organic Choco Syrup;$6.986 ;21
Brien Boise;UK;70% Dark Bites;$7.021 ;183
Gigi Bohling;Australia;Milk Bars;$7.189 ;54
Gunar Cockshoot;India;50% Dark Bites;$7.259 ;276
Husein Augar;New Zealand;Orange Choco;$7.273 ;96
Gigi Bohling;India;Raspberry Choco;$7.280 ;201
Gunar Cockshoot;New Zealand;Caramel Stuffed Bars;$7.308 ;327
Curtice Advani;Australia;Spicy Special Slims;$7.322 ;36
Carla Molina;USA;Caramel Stuffed Bars;$7.455 ;216
Gigi Bohling;Australia;White Choc;$7.483 ;45
Barr Faughny;India;99% Dark & Pure;$7.511 ;120
Barr Faughny;UK;Spicy Special Slims;$7.651 ;213
Ram Mahesh;New Zealand;99% Dark & Pure;$7.693 ;21
Curtice Advani;New Zealand;Smooth Sliky Salty;$7.693 ;87
Ches Bonnell;India;Eclairs;$7.777 ;39
Gunar Cockshoot;India;Choco Coated Almonds;$7.777 ;504
Barr Faughny;UK;Organic Choco Syrup;$7.812 ;81
Husein Augar;USA;Raspberry Choco;$7.833 ;243
Carla Molina;India;Peanut Butter Cubes;$7.847 ;174
Curtice Advani;India;Baker's Choco Chips;$8.008 ;456
Husein Augar;India;Fruit & Nut Bars;$8.155 ;90
Barr Faughny;Canada;Manuka Honey Choco;$8.211 ;75
Ches Bonnell;Canada;After Nines;$8.435 ;42
Husein Augar;India;Orange Choco;$8.463 ;492
Gigi Bohling;New Zealand;White Choc;$8.813 ;21
Gunar Cockshoot;Australia;Baker's Choco Chips;$8.841 ;303
Ches Bonnell;India;85% Dark Bars;$8.862 ;189
Ram Mahesh;USA;Peanut Butter Cubes;$8.869 ;432
Brien Boise;UK;Smooth Sliky Salty;$8.890 ;210
Ram Mahesh;New Zealand;Manuka Honey Choco;$9.002 ;72
Husein Augar;Canada;70% Dark Bites;$9.051 ;57
Gunar Cockshoot;Canada;Mint Chip Choco;$9.198 ;36
Barr Faughny;UK;Orange Choco;$9.443 ;162
Husein Augar;Australia;Peanut Butter Cubes;$9.506 ;87
Carla Molina;Canada;Drinking Coco;$9.632 ;288
Brien Boise;UK;Drinking Coco;$9.660 ;27
Brien Boise;New Zealand;Raspberry Choco;$9.709 ;30
Ram Mahesh;Canada;Peanut Butter Cubes;$9.772 ;90
Ches Bonnell;New Zealand;After Nines;$9.835 ;207
Barr Faughny;New Zealand;Eclairs;$9.926 ;201
Curtice Advani;Canada;Almond Choco;$10.073 ;120
Ches Bonnell;Australia;70% Dark Bites;$10.129 ;312
Carla Molina;Canada;Choco Coated Almonds;$10.304 ;84
Carla Molina;Canada;Milk Bars;$10.311 ;231
Barr Faughny;Canada;Mint Chip Choco;$11.417 ;21
Husein Augar;Canada;Organic Choco Syrup;$11.522 ;204
Barr Faughny;New Zealand;Drinking Coco;$11.571 ;138
Ram Mahesh;USA;Choco Coated Almonds;$12.348 ;234
Oby Sorrel;UK;Peanut Butter Cubes;$12.950 ;30
Gigi Bohling;USA;Raspberry Choco;$13.391 ;201
Husein Augar;India;Caramel Stuffed Bars;$14.329 ;150
Gigi Bohling;India;Orange Choco;$15.610 ;339
Gigi Bohling;Canada;Mint Chip Choco;$16.184 ;39
